Circuit name	disease	qualifier	Disease Ontology	DO identifier		
acantholytic squamous carcinoma cell line	acantholytic squamous carcinoma	exactMatch	acantholytic squamous cell skin carcinoma	doid:7643		
acute lymphoblastic leukemia (B-ALL) cell line	acute lymphoblastic leukemia	exactMatch	acute lymphoblastic leukemia	Doid:9952		
acute lymphoblastic leukemia (T-ALL) cell line	acute lymphoblastic leukemia	exactMatch	acute lymphoblastic leukemia	Doid:9952		
acute myeloid leukemia (FAB M0) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M1) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M2) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M3) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M4) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M4eo) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M5) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M6) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
acute myeloid leukemia (FAB M7) cell line	acute myeloid leukemia	exactMatch	acute myeloid leukemia	Doid:9119		
adenocarcinoma cell line	adenocarcinoma	exactMatch	adenocarcinoma	Doid:299		
Adipocyte - breast						
Adipocyte - omental						
Adipocyte - perirenal						
Adipocyte - subcutaneous						
adipose tissue, adult						
adrenal cortex adenocarcinoma cell line	adrenal cortex adenocarcinoma	exactMatch	adrenal cortical adenocarcinoma	Doid:3959		
adult T-cell leukemia cell line	leukemia or “T-cell leukemia” ?	exactMatch	T-cell lymphoblastic leukemia/lymphoma	Doid:715		
alveolar cell carcinoma cell line	carcinoma or “alveolar cell carcinoma” ?	broader	carcinoma	Doid:305		
Alveolar Epithelial Cells						
Amniotic Epithelial Cells						
amniotic membrane cells						
amygdala, adult						
anaplastic carcinoma cell line	anaplastic carcinoma	broader	carcinoma	Doid:305		
anaplastic large cell lymphoma cell line	anaplastic large cell lymphoma	exactMatch	anaplastic large cell lymphoma	Doid:0050744		
anaplastic squamous cell carcinoma cell line	anaplastic squamous cell carcinoma	broader	carcinoma	Doid:305		
Anulus Pulposus Cell						
aorta, adult						
appendix, adult						
argyrophil small cell carcinoma cell line	“argyrophil small cell carcinoma” or “argyrophil carcinoma” or “small cell carcinoma” ?	broader	carcinoma	Doid:305		
Astrocyte - cerebellum						
Astrocyte - cerebral cortex						
astrocytoma cell line	astrocytoma	exactMatch	malignant astrocytoma	Doid:3069		
b cell line						
B lymphoblastoid cell line						
basal cell carcinoma cell line	basal cell carcinoma	exactMatch	basal cell carcinoma	Doid:2513		
Basophils						
bile duct carcinoma cell line	bile duct carcinoma	exactMatch	bile duct carcinoma	Doid:4897		
biphenotypic B myelomonocytic leukemia cell line	biphenotypic B myelomonocytic leukemia	broader	myeloid leukemia	Doid:8692		
bladder, adult						
blood, adult						
bone marrow stromal cell line						
brain, adult						
brain, fetal						
breast carcinoma cell line	breast carcinoma	exactMatch	breast carcinoma	Doid:3459		
breast, adult						
Bronchial Epithelial Cell						
bronchial squamous cell carcinoma cell line	bronchial squamous cell carcinoma	broader	bronchus carcinoma	Doid:3904	squamous cell carcinoma	Doid:1749
bronchioalveolar carcinoma cell line	bronchioalveolar carcinoma	broader	bronchus carcinoma	Doid:3904		
bronchogenic carcinoma cell line	bronchogenic carcinoma	broader	bronchus carcinoma	Doid:3904		
Burkitt's lymphoma cell line	Burkitt's lymphoma	exactMatch	Burkitt lymphoma	Doid:8584		
carcinoid cell line	Carcinoma ???	broader	carcinoma	Doid:305		
carcinosarcoma cell line	carcinosarcoma	exactMatch	carcinosarcoma	Doid:4236		
Cardiac Myocyte						
caudate nucleus, adult						
CD14-CD16+ Monocytes						
CD14+ Monocytes						
CD14+CD16- Monocytes						
CD14+CD16+ Monocytes						
CD19+ B Cells						
CD34+ stem cells - adult bone marrow derived						
CD4+ T Cells						
CD4+CD25-CD45RA- memory conventional T cells						
CD4+CD25-CD45RA+ naive conventional T cells						
CD4+CD25+CD45RA- memory regulatory T cells						
CD4+CD25+CD45RA+ naive regulatory T cells						
CD8+ T Cells						
cerebellum, adult						
cerebral meninges, adult						
cervical cancer cell line	“cervical cancer” or “cervix cancer” ?	exactMatch	cervical cancer	Doid:4362		
cervix, adult						
cholangiocellular carcinoma cell line	cholangiocellular carcinoma	broader	carcinoma	Doid:305		
Chondrocyte - de diff						
Chondrocyte - re diff						
choriocarcinoma  cell line	choriocarcinoma	exactMatch	choriocarcinoma	Doid:3594		
chorionic membrane cells						
chronic lymphocytic leukemia (T-CLL) cell line	chronic lymphocytic leukemia	exactMatch	chronic lymphocytic leukemia	Doid:1040		
chronic myelogenous leukemia (CML) cell line	chronic lymphocytic leukemia	exactMatch	chronic lymphocytic leukemia	Doid:1040		
Ciliary Epithelial Cells						
clear cell carcinoma cell line	clear cell carcinoma	broader	carcinoma	Doid:305		
Clontech Human Universal Reference Total RNA						
colon carcinoma cell line	colon carcinoma	exactMatch	colon carcinoma	Doid:1520		
colon, adult						
colon, fetal						
cord blood derived cell line						
Corneal Epithelial Cells						
corpus callosum, adult						
Dendritic Cells - monocyte immature derived						
Dendritic Cells - plasmacytoid						
diaphragm, fetal						
diencephalon, adult						
diffuse large B-cell lymphoma cell line	diffuse large B-cell lymphoma	exactMatch	diffuse large B-cell lymphoma	Doid:0050745		
ductal cell carcinoma cell line	ductal cell carcinoma	exactMatch	ductal carcinoma in situ	Doid:0060074		
ductus deferens, adult						
duodenum, fetal						
dura mater, adult						
embryonic kidney cell line						
embryonic pancreas cell line						
endometrial cancer cell line	“endometrial cancer”	exactMatch	endometrial cancer	Doid:1380		
Endothelial Cells - Aortic						
Endothelial Cells - Artery						
Endothelial Cells - Lymphatic						
Endothelial Cells - Microvascular						
Endothelial Cells - Thoracic						
Endothelial Cells - Umbilical vein						
Endothelial Cells - Vein						
Endothelial Progenitor Cells						
epidermoid carcinoma cell line	epidermoid carcinoma	broader	carcinoma	Doid:305		
epididymis, adult						
epitheloid cancer cell line	epitheloid cancer	broader	cancer	Doid:162		
Esophageal Epithelial Cells						
esophagus, adult						
Ewing's sarcoma cell line	Ewing's sarcoma	exactMatch	Ewing sarcoma	Doid:3369		
extraskeletal myxoid chondrosarcoma cell line	extraskeletal myxoid chondrosarcoma	exactMatch	extraskeletal myxoid chondrosarcoma	Doid:6496		
eye, fetal						
Fibroblast - Aortic Adventitial						
Fibroblast - Cardiac						
Fibroblast - Choroid Plexus						
Fibroblast - Conjunctival						
Fibroblast - Dermal						
Fibroblast - Gingival						
Fibroblast - Lymphatic						
Fibroblast - Periodontal Ligament, adult						
Fibroblast - Periodontal Ligament, fetal						
Fibroblast - Pulmonary Artery						
Fibroblast - skin dystrophia myotonica						
Fibroblast - skin normal						
Fibroblast - skin spinal muscular atrophy						
Fibroblast - skin walker warburg						
fibrosarcoma cell line	fibrosarcoma	exactMatch	fibrosarcoma	Doid:3365		
fibrous histiocytoma cell line	“fibrous histiocytoma” or “histiocytoma”	exactMatch	fibrous histiocytoma	Doid:4415		
frontal lobe, adult						
gall bladder carcinoma cell line	“gall bladder carcinoma” or “carcinoma”	broader	carcinoma	Doid:305		
gall bladder, adult						
gastric cancer cell line	gastric cancer	exactMatch	stomach cancer	Doid:10534		
giant cell carcinoma cell line	giant cell carcinoma	missed				
Gingival epithelial cells						
glassy cell carcinoma cell line	glassy cell carcinoma	broader	carcinoma	Doid:305		
glioma cell line	glioma	exactMatch	brain glioma	Doid:0060108		
globus pallidus, adult						
granulosa cell tumor cell line	granulosa cell tumor	exactMatch	granulosa cell tumor	Doid:2999		
Hair Follicle Dermal Papilla Cells						
Hair Follicle Outer Root Sheath Cells						
hairy cell leukemia cell line	hairy cell leukemia	exactMatch	hairy cell leukemia	Doid:285		
heart - mitral valve, adult						
heart - pulmonic valve, adult						
heart - tricuspid valve, adult						
heart, adult						
heart, fetal						
Hep-2 cells						
hepatic mesenchymal tumor cell line	hepatic mesenchymal tumor	broader	liver cancer	Doid:3571		
Hepatic Sinusoidal Endothelial Cells						
Hepatic Stellate Cells (lipocyte)						
hepatoblastoma cell line	hepatoblastoma	exactMatch	hepatoblastoma	Doid:687		
hepatocellular carcinoma cell line	hepatocellular carcinoma	exactMatch	hepatocellular carcinoma	Doid:684		
Hepatocyte						
hereditary spherocytic anemia cell line	hereditary spherocytic anemia	broader	anemia	Doid:2355		
hippocampus, adult						
