Sample	Id_Fantom5	Tissue
CNhs11870	FF:10782-110G8	liposarcoma_cell_line
CNhs11851	FF:10726-110A6	liposarcoma_cell_line
CNhs11051	FF:11376-118A8	Adipocyte-breast
CNhs11969	FF:11327-117E4	Adipocyte-breast
CNhs12494	FF:11259-116F8	Adipocyte-subcutaneous
CNhs11371	FF:11336-117F4	Adipocyte-subcutaneous
CNhs12017	FF:11408-118E4	Adipocyte-subcutaneous
CNhs11868	FF:10778-110G4	hepatic_mesenchymal_tumor_cell_line
CNhs11335	FF:11524-119I3	Hepatic_Stellate_Cells-lipocyte
CNhs12093	FF:11604-120I2	Hepatic_Stellate_Cells-lipocyte
CNhs11893	FF:10810-111A9	adrenal_cortex_adenocarcinoma_cell_line
CNhs11341	FF:11533-120A3	Amniotic_Epithelial_Cells
CNhs12125	FF:11694-123A2	Amniotic_Epithelial_Cells
CNhs10876	FF:11248-116E6	Anulus_Pulposus_Cell
CNhs12064	FF:11463-119B5	Anulus_Pulposus_Cell
CNhs10742	FF:10425-106D2	astrocytoma_cell_line
CNhs11321	FF:11500-119F6	Astrocyte-cerebellum
CNhs12081	FF:11580-120F5	Astrocyte-cerebellum
CNhs12117	FF:11661-122F5	Astrocyte-cerebellum
CNhs10864	FF:11235-116D2	Astrocyte-cerebral_cortex
CNhs11960	FF:11316-117D2	Astrocyte-cerebral_cortex
CNhs12005	FF:11392-118C6	Astrocyte-cerebral_cortex
CNhs12331	FF:10821-111C2	B_lymphoblastoid_cell_line
CNhs12332	FF:10822-111C3	B_lymphoblastoid_cell_line
CNhs12333	FF:10823-111C4	B_lymphoblastoid_cell_line
CNhs10739	FF:10422-106C8	Burkitts_lymphoma_cell_line
CNhs11268	FF:10476-106I8	Burkitts_lymphoma_cell_line
CNhs11251	FF:10455-106G5	acute_lymphoblastic_leukemia-B-ALL-cell_line
CNhs11282	FF:10534-107G3	acute_lymphoblastic_leukemia-B-ALL-cell_line
CNhs10744	FF:10427-106D4	b_cell_line
CNhs11741	FF:10631-108I1	diffuse_large_B-cell_lymphoma_cell_line
CNhs11891	FF:10808-111A7	hereditary_spherocytic_anemia_cell_line
CNhs11852	FF:10727-110A7	lymphangiectasia_cell_line
CNhs11935	FF:10775-110G1	lymphoma-malignant-hairy_B-cell_cell_line
CNhs11258	FF:10474-106I6	myeloma_cell_line
CNhs10741	FF:10424-106D1	splenic_lymphoma_with_villous_lymphocytes_cell_line
CNhs11813	FF:10563-108A5	xeroderma_pigentosum_b_cell_line
CNhs12343	FF:11544-120B5	CD19pos_B_Cells
CNhs12352	FF:11624-122B4	CD19pos_B_Cells
CNhs12354	FF:11705-123B4	CD19pos_B_Cells
CNhs12575	FF:12243-129H2	Basophils
CNhs10727	FF:10409-106B4	chronic_myelogenous_leukemia-CML-cell_line
CNhs10837	FF:11207-116A1	Endothelial_Cells-Aortic
CNhs12495	FF:11263-116G3	Endothelial_Cells-Aortic
CNhs11375	FF:11340-117F8	Endothelial_Cells-Aortic
CNhs12022	FF:11412-118E8	Endothelial_Cells-Aortic
CNhs12496	FF:11264-116G4	Endothelial_Cells-Artery
CNhs11977	FF:11341-117F9	Endothelial_Cells-Artery
CNhs12023	FF:11413-118E9	Endothelial_Cells-Artery
CNhs11925	FF:11265-116G5	Endothelial_Cells-Microvascular
CNhs11376	FF:11342-117G1	Endothelial_Cells-Microvascular
CNhs12024	FF:11414-118F1	Endothelial_Cells-Microvascular
CNhs11926	FF:11266-116G6	Endothelial_Cells-Thoracic
CNhs11978	FF:11343-117G2	Endothelial_Cells-Thoracic
CNhs10872	FF:11243-116E1	Endothelial_Cells-Umbilical_vein
CNhs11967	FF:11324-117E1	Endothelial_Cells-Umbilical_vein
CNhs12010	FF:11400-118D5	Endothelial_Cells-Umbilical_vein
CNhs12497	FF:11267-116G7	Endothelial_Cells-Vein
CNhs11377	FF:11344-117G3	Endothelial_Cells-Vein
CNhs12026	FF:11416-118F3	Endothelial_Cells-Vein
CNhs10858	FF:11229-116C5	Endothelial_Progenitor_Cells
CNhs11897	FF:11310-117C5	Endothelial_Progenitor_Cells
CNhs11904	FF:11386-118B9	Endothelial_Progenitor_Cells
CNhs12341	FF:11525-119I4	Cardiac_Myocyte
CNhs12350	FF:11605-120I3	Cardiac_Myocyte
CNhs12571	FF:11686-122I3	Cardiac_Myocyte
CNhs13816	FF:11933-125I7	Olfactory_epithelial_cells
CNhs13817	FF:11934-125I8	Olfactory_epithelial_cells
CNhs13818	FF:11935-125I9	Olfactory_epithelial_cells
CNhs13819	FF:11936-126A1	Olfactory_epithelial_cells
CNhs11675	FF:12179-129A1	Whole_blood-ribopure
CNhs11671	FF:12180-129A2	Whole_blood-ribopure
CNhs11948	FF:12181-129A3	Whole_blood-ribopure
CNhs11075	FF:12176-128I7	Whole_blood-ribopure
CNhs11076	FF:12177-128I8	Whole_blood-ribopure
CNhs11672	FF:12182-129A4	Whole_blood-ribopure
CNhs11673	FF:12183-129A5	Whole_blood-ribopure
CNhs11949	FF:12184-129A6	Whole_blood-ribopure
CNhs10608	FF:10000-101A1	Clontech_Human_Universal_Reference_Total_RNA
CNhs10610	FF:10002-101A5	SABiosciences_XpressRef_Human_Universal_Total_RNA
CNhs10612	FF:10007-101B4	Universal_RNA-Human_Normal_Tissues_Biochain
CNhs10615	FF:10010-101C1	adipose_tissue-adult
CNhs13793	FF:10167-103B5	amygdala-adult
CNhs12311	FF:10151-102I7	amygdala-adult
CNhs11760	FF:10052-101G7	aorta-adult
CNhs12842	FF:10189-103D9	appendix-adult
CNhs10616	FF:10011-101C2	bladder-adult
CNhs11761	FF:10053-101G8	blood-adult
CNhs11796	FF:10084-102B3	brain-adult
CNhs10617	FF:10012-101C3	brain-adult
CNhs11797	FF:10085-102B4	brain-fetal
CNhs11792	FF:10080-102A8	breast-adult
CNhs13802	FF:10177-103C6	caudate_nucleus-adult
CNhs12321	FF:10164-103B2	caudate_nucleus-adult
CNhs13799	FF:10173-103C2	cerebellum-adult
CNhs12323	FF:10166-103B4	cerebellum-adult
CNhs11795	FF:10083-102B2	cerebellum-adult
CNhs12840	FF:10188-103D8	cerebral_meninges-adult
CNhs10618	FF:10013-101C4	cervix-adult
CNhs11794	FF:10082-102B1	colon-adult
CNhs10619	FF:10014-101C5	colon-adult
CNhs11780	FF:10070-101I7	colon-fetal
CNhs10649	FF:10042-101F6	corpus_callosum-adult
CNhs11779	FF:10069-101I6	diaphragm-fetal
CNhs12610	FF:10193-103E4	diencephalon-adult
CNhs12846	FF:10196-103E7	ductus_deferens-adult
CNhs11781	FF:10071-101I8	duodenum-fetal
CNhs12997	FF:10071-101I8	duodenum-fetal
CNhs10648	FF:10041-101F5	dura_mater-adult
CNhs12847	FF:10197-103E8	epididymis-adult
CNhs10620	FF:10015-101C6	esophagus-adult
CNhs11762	FF:10054-101G9	eye-fetal
CNhs10647	FF:10040-101F4	frontal_lobe-adult
CNhs12848	FF:10198-103E9	gall_bladder-adult
CNhs13801	FF:10175-103C4	globus_pallidus-adult
CNhs12319	FF:10161-103A8	globus_pallidus-adult
CNhs12855	FF:10205-103F7	heart-mitral_valve-adult
CNhs12856	FF:10206-103F8	heart-pulmonic_valve-adult
CNhs12857	FF:10207-103F9	heart-tricuspid_valve-adult
CNhs11757	FF:10050-101G5	heart-adult
CNhs11758	FF:10051-101G6	heart-adult
CNhs10621	FF:10016-101C7	heart-adult
CNhs10653	FF:10046-101G1	heart-fetal
CNhs13795	FF:10169-103B7	hippocampus-adult
CNhs12312	FF:10153-102I9	hippocampus-adult
CNhs10646	FF:10039-101F3	insula-adult
CNhs10622	FF:10017-101C8	kidney-adult
CNhs10652	FF:10045-101F9	kidney-fetal
CNhs11790	FF:10079-102A7	left_atrium-adult
CNhs11789	FF:10078-102A6	left_ventricle-adult
CNhs10624	FF:10018-101C9	liver-adult
CNhs11798	FF:10086-102B5	liver-fetal
CNhs13808	FF:10182-103D2	locus_coeruleus-adult
CNhs12322	FF:10165-103B3	locus_coeruleus-adult
