sample	diseaseName
CNhs10722	acute myeloid leukemia
CNhs10723	acute myeloid leukemia
CNhs10724	acute myeloid leukemia
CNhs10727	chronic myeloblastic leukemia -CML-
CNhs10738	adult T-cell leukemia
CNhs10746	acute lymphoblastic leukemia -T
CNhs10747	non T non B acute lymphoblastic leukemia 
CNhs11250	chronic myeloblastic leukemia -CML-
CNhs11251	acute lymphoblastic leukemia -B
CNhs11253	acute lymphoblastic leukemia -T
CNhs11282	acute lymphoblastic leukemia -B
CNhs11714	chronic lymphocytic leukemia -T-CLL-
CNhs11843	hairy cell leukemia
CNhs11845	biphenotypic B myelomonocytic leukemia
CNhs11859	leukemia	 chronic megakaryoblastic
CNhs11864	acute myeloid leukemia
CNhs11865	chronic myeloblastic leukemia -CML-
CNhs11867	NK T cell leukemia
CNhs11886	chronic myeloblastic leukemia -CML-
CNhs11888	acute myeloid leukemia
CNhs12334	chronic myeloblastic leukemia -CML-
CNhs12335	chronic myeloblastic leukemia -CML-
CNhs12336	chronic myeloblastic leukemia -CML-
CNhs12807	plasma cell leukemia
CNhs13049	acute myeloid leukemia
CNhs13050	acute myeloid leukemia
CNhs13051	acute myeloid leukemia
CNhs13052	acute myeloid leukemia
CNhs13053	acute myeloid leukemia
CNhs13054	acute myeloid leukemia
CNhs13055	acute myeloid leukemia
CNhs13056	acute myeloid leukemia
CNhs13057	acute myeloid leukemia
CNhs13058	acute myeloid leukemia
CNhs13059	acute myeloid leukemia
CNhs13060	acute myeloid leukemia
CNhs13502	acute myeloid leukemia
CNhs13503	acute myeloid leukemia
CNhs13504	acute myeloid leukemia
CNhs13505	acute myeloid leukemia
