tf 	gene 	weightP 	weightE
BHLHE40 	AHR	0.00612231	0.0
ARNTL 	AHR	0.00199912	0.0
CACD 	AHR	0.00049978	0.0
HF1H3B 	AHR	0.00049978	0.0
KLF4 	AHR	0.00612231	0.0
BHLHE41 	AHR	0.00049978	0.0
CACBP 	AHR	0.000124945	0.0
MLX 	AHR	0.00612231	0.0
KLF7 	AHR	0.00612231	0.0
PATZ1 	AHR	0.000124945	0.0
TFEB 	AHR	0.00112451	0.0
SREBF1 	AHR	0.00199912	0.0
TFE3 	AHR	0.00612231	0.0
KLF7 	ALX1	0.147839	0.0
SP1 	ALX1	0.378468	0.0
PRDM1 	ALX1	0.0532221	0.0
POU2F1 	ALX1	0.289765	0.0
POU2F3 	ALX1	0.212888	0.0
KLF16 	ALX1	0.212888	0.0
WT1 	ALX1	0.00591356	0.0
SMAD3 	ALX1	0.00591356	0.0
CACBP 	ALX1	0.00591356	0.0
TCF12 	ALX1	0.00591356	0.0
