sample 	 sampleLabel 	 sampleCellType 	 sampleAnatomicalEntity 	 sampleCellTypeLabel 
CNhs11923 	 Chondrocyte - de diff	 donor1 	 http://purl.obolibrary.org/obo/CL_0000058 	chondroblast 
CNhs11372 	 Chondrocyte - de diff	 donor2 	 http://purl.obolibrary.org/obo/CL_0000058 	chondroblast 
CNhs12020 	 Chondrocyte - de diff	 donor3 	 http://purl.obolibrary.org/obo/CL_0000058 	chondroblast 
CNhs10728 	 extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS 		 http://purl.obolibrary.org/obo/CL_0000058 	chondroblast 
CNhs11952 	 Fibroblast - Gingival	 donor5 (GFH3) 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs12028 	 Fibroblast - Dermal	 donor3 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11352 	 Fibroblast - skin walker warburg	 donor1 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11339 	 Fibroblast - Conjunctival	 donor1 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11953 	 Fibroblast - Periodontal Ligament	 donor5 (PL30) 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs12344 	 Fibroblast - Choroid Plexus	 donor2 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11074 	 Fibroblast - skin spinal muscular atrophy	 donor1 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11962 	 Fibroblast - Periodontal Ligament	 donor2 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs12498 	 Fibroblast - Cardiac	 donor1 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11322 	 Fibroblast - Lymphatic	 donor1 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs10878 	 Fibroblast - Pulmonary Artery	 donor1 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11914 	 Fibroblast - skin normal	 donor2 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
CNhs11911 	 Fibroblast - skin spinal muscular atrophy	 donor2 	 http://purl.obolibrary.org/obo/CL_0000057 	fibroblast 
